Title,Body,Labels,Milestone
"Epic: Repo, environments, and CDK foundations","Goal: Stand up a monorepo with IaC, environments, and CI/CD to enable fast iteration.\nAcceptance:\n- Monorepo with infra/backend/frontend packages\n- CDK bootstrap complete and base stacks deployed\n- GitHub Actions set up with OIDC to AWS\n- Dashboards for core services live","Epic,Infra,CI/CD,MVP","MVP"
"Epic: Auth and frontend scaffold","Goal: Authenticate users with Cognito and deliver a React SPA with core routes.\nAcceptance:\n- Cognito integrated; JWTs flow to APIs\n- SPA with Upload, Chat, Explorer routes\n- Pre-signed upload flow wired","Epic,Frontend,Auth,MVP","MVP"
"Epic: Import pipeline (MVP)","Goal: Reliable CSV ingestion from S3 to DynamoDB with idempotency and job tracking.\nAcceptance:\n- S3→SQS→Lambda parsing pipeline\n- Step Functions orchestration for large files\n- Idempotent writes; job status and errors visible","Epic,Backend,Data,MVP","MVP"
"Epic: Query service and aggregates","Goal: Low-latency stats via materialized aggregates, with a clean REST API.\nAcceptance:\n- DDB Streams aggregator maintains counts\n- /stats endpoint answers grade/area/date queries\n- Explorer UI uses the API efficiently","Epic,Backend,Data,API,MVP","MVP"
"Epic: Chat NL-to-Query","Goal: Natural language to constrained query DSL with a simple chat UI.\nAcceptance:\n- DSL schema and guardrails defined\n- NL translator maps prompts to DSL\n- Chat endpoint + UI return accurate answers","Epic,Backend,Chat,API,MVP","MVP"
"Epic: Scale, reliability, and UX polish","Goal: Confidently handle 1M+ rows with backpressure, retries, and clear UX.\nAcceptance:\n- Load tests for imports and queries\n- Throttling/backoff in place; DLQs drained\n- Error reporting and caching for hot queries","Epic,Observability,Reliability,MVP","MVP"
"Epic: Kafka and EKS (advanced depth)","Goal: Introduce MSK + EKS for replayable stream processing and advanced ops.\nAcceptance:\n- MSK topics created; producers/consumers wired\n- EKS service processes streams with HPA\n- Replay/backfill and chaos tests proven","Epic,Streaming,Kubernetes,Phase2","Phase2"
"Epic: Security, costs, and docs","Goal: Tighten IAM, set budgets, and document runbooks and decisions.\nAcceptance:\n- IAM least-privilege verified\n- Cost budgets/alerts configured\n- Runbooks and ADRs published","Epic,Security,Docs,MVP","MVP"
"Story: Monorepo setup","Create monorepo with Yarn workspaces/Turbo and shared packages (infra, backend, frontend, shared, data-contracts).\nAcceptance:\n- Install/build/test commands work root and per-package\n- Prettier/ESLint/TS configs shared","Story,Infra,CI/CD,MVP","MVP"
"Story: CDK bootstrap and base stacks","Bootstrap CDK and deploy base resources: S3, DynamoDB, API Gateway (placeholder), Cognito, CloudFront+S3 for SPA.\nAcceptance:\n- cdk synth/deploy succeeds in dev\n- Stacks parameterized per env","Story,Infra,IaC,MVP","MVP"
"Story: GitHub Actions with OIDC","Set up CI (lint/test/typecheck) and CD (CDK deploy to dev) using GitHub OIDC.\nAcceptance:\n- PR checks block on failures\n- Merge to main deploys dev; stage/prod require approval","Story,CI/CD,Security,MVP","MVP"
"Story: CloudWatch dashboards","Create dashboards for API, Lambdas, SQS, DDB; add SNS alarms for error rates, throttles, DLQ depth.\nAcceptance:\n- Dashboards render key KPIs\n- Alerts notify on thresholds","Story,Observability,Infra,MVP","MVP"
"Story: Cognito + React auth","Integrate Cognito Hosted UI or embedded auth into the SPA, attach JWT to API calls.\nAcceptance:\n- Login/logout works\n- Protected routes enforce auth","Story,Auth,Frontend,MVP","MVP"
"Story: SPA skeleton","Scaffold routes and layout: Upload, Chat, Explorer, Settings. Apply base theme and navigation.\nAcceptance:\n- Client routing works\n- Error/loading states present","Story,Frontend,UX,MVP","MVP"
"Story: Pre-signed upload flow","API returns pre-signed S3 PUT URL and jobId; client uploads CSV and shows progress placeholder.\nAcceptance:\n- Upload success/failure reflected\n- jobId persisted client-side","Story,Frontend,Backend,MVP","MVP"
"Story: Import API + job tracking","Create ImportJobs table and endpoints to create job, query status, and finalize on completion.\nAcceptance:\n- Status: created/running/failed/completed\n- Counts: processed/succeeded/failed","Story,Backend,API,MVP","MVP"
"Story: S3→SQS→Lambda parsing","Wire S3 event to SQS; Lambda reads object, parses CSV, validates rows, and emits normalized records.\nAcceptance:\n- Invalid rows quarantined with reason\n- Metrics for throughput and errors","Story,Backend,Data,MVP","MVP"
"Story: Batch write to DynamoDB with idempotency","Persist ticks with conditional writes and per-row idempotency keys.\nAcceptance:\n- Reprocessing does not duplicate rows\n- Unprocessed items retried with backoff","Story,Backend,Data,MVP","MVP"
"Story: Step Functions orchestration","Use Map state to split large files and track per-chunk progress.\nAcceptance:\n- Parallel chunks within configured cap\n- Job summary aggregates chunk results","Story,Backend,Orchestration,MVP","MVP"
